  Global optimal solution found.
  Objective value:                              137.5095
  Objective bound:                              137.5095
  Infeasibilities:                              0.000000
  Extended solver steps:                               1
  Total solver iterations:                        930998


  Model Title: : LINGO線平衡整數規劃求解模型

                       Variable           Value        Reduced Cost
                        WA10B13        0.000000            0.000000
                        FA10B13        0.000000            0.000000
                        WA10B14        0.000000            0.000000
                        FA10B14        0.000000            0.000000
                        WA10B15        0.000000            0.000000
                        FA10B15        0.000000            0.000000
                        WA10B16        1.000000            0.000000
                        FA10B16        0.000000            0.000000
                        WA11B11        0.000000            0.000000
                        FA11B11        0.000000            0.000000
                        WA11B12        0.000000            0.000000
                        FA11B12        0.000000            0.000000
                        WA11B13        0.000000            0.000000
                        FA11B13        0.000000            0.000000
                        WA11B14        0.000000            0.000000
                        FA11B14        0.000000            0.000000
                        WA11B15        0.000000            0.000000
                        FA11B15        0.000000            0.000000
                        WA11B16        0.000000            0.000000
                        FA11B16        0.000000            0.000000
                        WA12B12        0.000000            0.000000
                        FA12B12        0.000000            0.000000
                        WA12B13        0.000000            0.000000
                        FA12B13        0.000000            0.000000
                        WA12B14        0.000000            0.000000
                        FA12B14        0.000000            0.000000
                        WA12B15        0.000000            0.000000
                        FA12B15        0.000000            0.000000
                        WA12B16        0.000000            0.000000
                        FA12B16        0.000000            0.000000
                        WA13B13        0.000000            0.000000
                        FA13B13        0.000000            0.000000
                        WA13B14        0.000000            0.000000
                        FA13B14        0.000000            0.000000
                        WA13B15        0.000000            0.000000
                        FA13B15        0.000000            0.000000
                        WA13B16        0.000000            0.000000
                        FA13B16        0.000000            0.000000
                        WA14B14        0.000000            0.000000
                        FA14B14        0.000000            0.000000
                        WA14B15        0.000000            0.000000
                        FA14B15        0.000000            0.000000
                        WA14B16        0.000000            0.000000
                        FA14B16        0.000000            0.000000
                        WA15B15        0.000000            0.000000
                        FA15B15        0.000000            0.000000
                        WA15B16        0.000000            0.000000
                        FA15B16        0.000000            0.000000
                        WA16B16        0.000000            0.000000
                        FA16B16        0.000000            0.000000
                          FB1A2        0.000000            0.000000
                          FB2A3        1.000000            0.000000
                          FB3A4        0.000000            0.000000
                          FB4A5        0.000000            0.000000
                          FB5A6        1.000000            0.000000
                          FB6A7        0.000000            0.000000
                          FB7A8        0.000000            0.000000
                          FB8A9        0.000000            0.000000
                         FB9A10        0.000000            0.000000
                        FB10A11        0.000000            0.000000
                        FB11A12        0.000000            0.000000
                        FB12A13        0.000000            0.000000
                        FB13A14        0.000000            0.000000
                        FB14A15        0.000000            0.000000
                        FB15A16        0.000000            0.000000

                            Row    Slack or Surplus      Dual Price
                              1        137.5095            1.000000
                              2        0.000000            0.000000
                              3        0.000000            0.000000
                              4        0.000000            0.000000
                              5        0.000000            0.000000
                              6        0.000000            0.000000
                              7        0.000000            0.000000
                              8        0.000000            0.000000
                              9        0.000000            0.000000
                             10        0.000000            0.000000
                             11        0.000000            0.000000
                             12        0.000000            0.000000
                             13        0.000000            0.000000
                             14        0.000000            0.000000
                             15        0.000000           -1.313113
                             16        0.000000            0.000000
                             17        0.000000            0.000000
                             18        0.000000            0.000000
                             19        0.000000            0.000000
                             20        0.000000            0.000000
                             21        0.000000            0.000000
                             22        0.000000            0.000000
                             23        0.000000            0.000000
                             24        0.000000            0.000000
                             25        0.000000            0.000000
                             26        0.000000            0.000000
                             27        0.000000            0.000000
                             28        0.000000            0.000000
                             29        0.000000            0.000000
                             30        0.000000            0.000000
                             31        0.000000            0.000000
                             32        0.000000            0.000000
                             33        0.000000            0.000000
                             34        0.000000            0.000000
                             35        0.000000            0.000000
                             36        0.000000            0.000000
                             37        0.000000            0.000000
                             38        0.000000            0.000000
                             39        0.000000            0.000000
                             40        0.000000            0.000000
                             41        0.000000            0.000000
                             42        0.000000            0.000000
                             43        0.000000            0.000000
